patent_id,size_issue
4180935,
4180972,
4180974,
4181139,
4181152,
4181260,
4181402,
4181440,
4181572,
4181589,
4181590,
4181654,
4181678,
4181679,
4181681,
4181717,
4181718,
4181751,
4181774,
4181882,
4181900,
4181902,
4181940,
4181968,
4181976,
4182158,
4182256,
4182379,
4182967,
4182995,
4183008,
4183027,
4183035,
4183055,
4183088,
4183097,
4183215,
4183217,
4183303,
4183316,
4183483,
4183687,
4183720,
4183738,
4183744,
4183931,
4183960,
4184010,
4184014,
4184021,
4184069,
4184072,
4184073,
4184093,
4184111,
4184117,
4184125,
4184131,
4184133,
4184149,
4184155,
4184172,
4184197,
4184200,
4184201,
4184209,
4184210,
4184368,
4184374,
4184472,
4184491,
4184514,
4184536,
4184609,
4184662,
4184665,
4184764,
4184768,
4184801,
4184821,
4184882,
4184885,
4184896,
4184900,
4184903,
4185031,
4185041,
4185081,
4185095,
4185164,
4185206,
4185209,
4185216,
4185244,
4185247,
4185251,
4185252,
4185254,
4185289,
4185292,
4185326,
4185345,
4185458,
4185461,
4185462,
4185550,
4185552,
4185554,
4185555,
4185560,
4185578,
4185796,
4185797,
4185858,
4185864,
4185888,
4185937,
4186045,
4186046,
4186132,
4186183,
4186187,
4186209,
4186347,
4186361,
4186437,
4186556,
4186622,
4186623,
4186663,
4186679,
4186681,
4186749,
4186768,
4187116,
4187333,
4187351,
4187359,
4187394,
4187416,
4187458,
4187470,
4187501,
4187506,
4187549,
4187570,
4187595,
4187675,
4187692,
4187693,
4187694,
4187698,
4187723,
4187740,
4187758,
4187782,
4187783,
4187930,
4188001,
4188096,
4188118,
4188174,
4188185,
4188198,
4188237,
4188324,
4188325,
4188337,
4188345,
4188368,
4188547,
4188576,
4188591,
4188594,
4188822,
4188823,
4188830,
4188884,
4188905,
4188906,
4188908,
4188970,
4189026,
4189070,
4189203,
4189234,
4189527,
4189534,
4189647,
4189650,
4189656,
4189660,
4189675,
4189677,
4189681,
4189682,
4189693,
4189701,
4189786,
4189827,
4189848,
4189914,
4189939,
4189944,
4189999,
4190000,
4190012,
4190016,
4190060,
4190083,
4190094,
4190273,
4190471,
4190476,
4190486,
4190495,
4190610,
4190611,
4190626,
4190628,
4190646,
4190647,
4190733,
4190769,
4190808,
4190814,
4190858,
4190950,
4191011,
4191052,
4191087,
4191115,
4191159,
4191218,
4191346,
4191505,
4191558,
4191561,
4191628,
4191720,
4191721,
4191755,
4191756,
4191886,
4191893,
4191920,
4191928,
4191933,
4191941,
4191959,
4192020,
4192064,
4192082,
4192246,
4192290,
4192302,
4192349,
4192910,
4192911,
4192994,
4193011,
4193029,
4193044,
4193047,
4193059,
4193061,
4193073,
4193074,
4193088,
4193111,
4193129,
4193176,
4193328,
4193335,
4193346,
4193388,
4193422,
4193570,
4193693,
4193771,
4193772,
4193821,
4193827,
4193829,
4193860,
4194115,
4194150,
4194169,
4194171,
4194187,
4194194,
4194200,
4194202,
4194205,
4194206,
4194209,
4194240,
4194246,
4194304,
4194491,
4194571,
4194643,
4194694,
4194708,
4194811,
4194869,
4194924,
4194929,
4194983,
4195026,
4195027,
4195144,
4195195,
4195221,
4195244,
4195264,
4195270,
4195279,
4195305,
4195308,
4195311,
4195312,
4195313,
4195335,
4195359,
4195475,
4195476,
4195512,
4195525,
4195571,
4195666,
4195798,
4195813,
4195915,
4195991,
4196026,
4196129,
4196133,
4196176,
4196183,
4196219,
4196232,
4196359,
4196399,
4196400,
4196423,
4196433,
4196448,
4196474,
4196522,
4196613,
4196619,
4196626,
4196629,
4196644,
4196688,
4196840,
4196895,
4197141,
4197200,
4197220,
4197286,
4197360,
4197363,
4197369,
4197419,
4197421,
4197460,
4197462,
4197466,
4197483,
4197500,
4197522,
4197529,
4197530,
4197547,
4197552,
4197591,
4197610,
4197653,
4197753,
4197787,
4197970,
4198015,
4198017,
4198120,
4198163,
4198164,
4198207,
4198208,
4198209,
4198210,
4198225,
4198232,
4198362,
4198474,
4198632,
4198644,
4198686,
4198701,
4198703,
4198704,
4198706,
4198759,
4198788,
4198792,
4198815,
4198839,
4198877,
4198926,
4198988,
4198990,
4199003,
4199022,
4199079,
4199151,
4199175,
4199223,
4199448,
4199571,
4199620,
4199650,
4199691,
4199715,
4199735,
4199759,
4199760,
4199762,
4199764,
4199810,
4199875,
4199937,
4200028,
4200310,
4200395,
4200473,
4200484,
4200608,
4200630,
4200721,
4200770,
4200801,
4200815,
4200819,
4200821,
4200831,
4200840,
4200849,
4200863,
4200872,
4200875,
4200919,
4200922,
4201272,
4201611,
4201622,
4201623,
4201654,
4201692,
4201731,
4201738,
4201822,
4201876,
4201881,
4201950,
4201989,
4202001,
4202041,
4202047,
4202051,
4202104,
4202269,
4202271,
4202369,
4202515,
4202516,
4202602,
4202668,
4202730,
4202829,
4202865,
4202931,
4202933,
4202967,
4203078,
4203089,
4203108,
4203110,
4203115,
4203117,
4203160,
4203162,
4203164,
4203285,
4203286,
4203303,
4203364,
4203458,
4203582,
4203642,
4203654,
4203692,
4203723,
4203785,
4203922,
4203930,
4203974,
4204037,
4204153,
4204154,
4204198,
4204212,
4204216,
4204225,
4204226,
4204280,
4204402,
4204475,
4204544,
4204552,
4204659,
4204816,
4204829,
4204899,
4204926,
4205006,
4205124,
4205224,
4205229,
4205265,
4205278,
4205282,
4205283,
4205331,
4205382,
4205394,
4205428,
4205529,
4205553,
4205608,
4205609,
4205945,
4205983,
4206032,
4206033,
4206094,
4206201,
4206383,
4206510,
4206574,
4206594,
4206705,
4206707,
4206713,
4206721,
4206753,
4206891,
4206970,
4207024,
4207040,
4207075,
4207080,
4207208,
4207311,
4207388,
4207394,
4207407,
4207434,
4207460,
4207476,
4207495,
4207520,
4207525,
4207542,
4207547,
4207560,
4207594,
4207621,
4207622,
4207623,
4207624,
4207625,
4207626,
4207746,
4207758,
4207764,
4207795,
4207819,
4207889,
4208091,
4208093,
4208129,
4208170,
4208343,
4208377,
4208399,
4208475,
4208626,
4208638,
4208660,
4208667,
4208719,
4208725,
4208729,
4208738,
4208810,
4208948,
4208967,
4209240,
4209255,
4209286,
4209351,
4209393,
4209394,
4209474,
4209519,
4209552,
4209611,
4209634,
4209766,
4209767,
4209786,
4209796,
4210082,
4210083,
4210099,
4210278,
4210298,
4210400,
4210401,
4210419,
4210474,
4210518,
4210637,
4210644,
4210681,
4210804,
4210819,
4210820,
4210845,
4210877,
4211093,
4211124,
4211151,
4211169,
4211239,
4211354,
4211487,
4211693,
4211773,
4211889,
4211936,
4211983,
4212020,
4212191,
4212199,
4212227,
4212244,
4212317,
4212346,
4212422,
