"","year","freq"
"1",1980,1255
"2",1981,1193
"3",1982,1177
"4",1983,1257
"5",1984,1446
"6",1985,1400
"7",1986,1448
"8",1987,1606
"9",1988,1353
"10",1989,1724
"11",1990,1570
"12",1991,1843
"13",1992,2016
"14",1993,2057
"15",1994,2198
"16",1995,2020
"17",1996,2222
"18",1997,2567
"19",1998,3235
"20",1999,3318
"21",2000,3237
"22",2001,3494
"23",2002,3597
"24",2003,3429
"25",2004,3296
"26",2005,3060
"27",2006,3763
"28",2007,3507
"29",2008,3426
"30",2009,3919
"31",2010,5249
"32",2011,5315
"33",2012,6146
"34",2013,6599
"35",2014,6975
"36",2015,6842
"37",2016,7149
"38",2017,7556
