"","wipo_field","year","freq"
"1","Analysis of biological materials","1980",18
"2","Audio-visual technology","1980",20
"3","Basic communication processes","1980",35
"4","Basic materials chemistry ","1980",45
"5","Biotechnology","1980",24
"6","Chemical engineering","1980",26
"7","Civil engineering","1980",8
"8","Computer technology","1980",24
"9","Control","1980",21
"10","Digital communication","1980",8
"11","Electrical machinery, apparatus, energy","1980",102
"12","Engines, pumps, turbines","1980",76
"13","Environmental technology","1980",23
"14","Food chemistry","1980",2
"15","Furniture, games","1980",1
"16","Handling","1980",8
"17","IT methods for management","1980",0
"18","Machine tools","1980",18
"19","Macromolecular chemistry, polymers","1980",16
"20","Materials, metallurgy","1980",51
"21","Measurement","1980",180
"22","Mechanical elements","1980",47
"23","Medical technology","1980",23
"24","Micro-structural and nano-technology","1980",0
"25","Optics","1980",78
"26","Organic fine chemistry","1980",75
"27","Other consumer goods","1980",10
"28","Other special machines","1980",88
"29","Pharmaceuticals","1980",15
"30","Semiconductors","1980",48
"31","Surface technology, coating","1980",30
"32","Telecommunications","1980",58
"33","Textile and paper machines","1980",2
"34","Thermal processes and apparatus","1980",8
"35","Transport","1980",65
"36","Analysis of biological materials","1981",17
"37","Audio-visual technology","1981",10
"38","Basic communication processes","1981",38
"39","Basic materials chemistry ","1981",45
"40","Biotechnology","1981",29
"41","Chemical engineering","1981",35
"42","Civil engineering","1981",15
"43","Computer technology","1981",29
"44","Control","1981",15
"45","Digital communication","1981",4
"46","Electrical machinery, apparatus, energy","1981",97
"47","Engines, pumps, turbines","1981",56
"48","Environmental technology","1981",24
"49","Food chemistry","1981",2
"50","Furniture, games","1981",2
"51","Handling","1981",5
"52","IT methods for management","1981",0
"53","Machine tools","1981",24
"54","Macromolecular chemistry, polymers","1981",26
"55","Materials, metallurgy","1981",42
"56","Measurement","1981",155
"57","Mechanical elements","1981",36
"58","Medical technology","1981",33
"59","Micro-structural and nano-technology","1981",0
"60","Optics","1981",79
"61","Organic fine chemistry","1981",70
"62","Other consumer goods","1981",8
"63","Other special machines","1981",71
"64","Pharmaceuticals","1981",14
"65","Semiconductors","1981",35
"66","Surface technology, coating","1981",35
"67","Telecommunications","1981",45
"68","Textile and paper machines","1981",3
"69","Thermal processes and apparatus","1981",27
"70","Transport","1981",64
"71","Analysis of biological materials","1982",22
"72","Audio-visual technology","1982",17
"73","Basic communication processes","1982",46
"74","Basic materials chemistry ","1982",49
"75","Biotechnology","1982",27
"76","Chemical engineering","1982",24
"77","Civil engineering","1982",13
"78","Computer technology","1982",18
"79","Control","1982",20
"80","Digital communication","1982",12
"81","Electrical machinery, apparatus, energy","1982",98
"82","Engines, pumps, turbines","1982",73
"83","Environmental technology","1982",12
"84","Food chemistry","1982",5
"85","Furniture, games","1982",0
"86","Handling","1982",5
"87","IT methods for management","1982",0
"88","Machine tools","1982",22
"89","Macromolecular chemistry, polymers","1982",23
"90","Materials, metallurgy","1982",57
"91","Measurement","1982",156
"92","Mechanical elements","1982",34
"93","Medical technology","1982",23
"94","Micro-structural and nano-technology","1982",0
"95","Optics","1982",68
"96","Organic fine chemistry","1982",47
"97","Other consumer goods","1982",7
"98","Other special machines","1982",76
"99","Pharmaceuticals","1982",18
"100","Semiconductors","1982",57
"101","Surface technology, coating","1982",36
"102","Telecommunications","1982",41
"103","Textile and paper machines","1982",2
"104","Thermal processes and apparatus","1982",24
"105","Transport","1982",40
"106","Analysis of biological materials","1983",14
"107","Audio-visual technology","1983",24
"108","Basic communication processes","1983",43
"109","Basic materials chemistry ","1983",54
"110","Biotechnology","1983",50
"111","Chemical engineering","1983",23
"112","Civil engineering","1983",19
"113","Computer technology","1983",29
"114","Control","1983",13
"115","Digital communication","1983",7
"116","Electrical machinery, apparatus, energy","1983",116
"117","Engines, pumps, turbines","1983",77
"118","Environmental technology","1983",20
"119","Food chemistry","1983",1
"120","Furniture, games","1983",3
"121","Handling","1983",7
"122","IT methods for management","1983",1
"123","Machine tools","1983",19
"124","Macromolecular chemistry, polymers","1983",25
"125","Materials, metallurgy","1983",58
"126","Measurement","1983",162
"127","Mechanical elements","1983",36
"128","Medical technology","1983",32
"129","Micro-structural and nano-technology","1983",0
"130","Optics","1983",69
"131","Organic fine chemistry","1983",46
"132","Other consumer goods","1983",4
"133","Other special machines","1983",57
"134","Pharmaceuticals","1983",20
"135","Semiconductors","1983",66
"136","Surface technology, coating","1983",31
"137","Telecommunications","1983",36
"138","Textile and paper machines","1983",8
"139","Thermal processes and apparatus","1983",33
"140","Transport","1983",47
"141","Analysis of biological materials","1984",26
"142","Audio-visual technology","1984",18
"143","Basic communication processes","1984",45
"144","Basic materials chemistry ","1984",57
"145","Biotechnology","1984",46
"146","Chemical engineering","1984",25
"147","Civil engineering","1984",16
"148","Computer technology","1984",23
"149","Control","1984",22
"150","Digital communication","1984",10
"151","Electrical machinery, apparatus, energy","1984",144
"152","Engines, pumps, turbines","1984",87
"153","Environmental technology","1984",26
"154","Food chemistry","1984",2
"155","Furniture, games","1984",3
"156","Handling","1984",10
"157","IT methods for management","1984",0
"158","Machine tools","1984",36
"159","Macromolecular chemistry, polymers","1984",25
"160","Materials, metallurgy","1984",62
"161","Measurement","1984",187
"162","Mechanical elements","1984",43
"163","Medical technology","1984",23
"164","Micro-structural and nano-technology","1984",1
"165","Optics","1984",100
"166","Organic fine chemistry","1984",57
"167","Other consumer goods","1984",13
"168","Other special machines","1984",59
"169","Pharmaceuticals","1984",27
"170","Semiconductors","1984",45
"171","Surface technology, coating","1984",52
"172","Telecommunications","1984",52
"173","Textile and paper machines","1984",5
"174","Thermal processes and apparatus","1984",47
"175","Transport","1984",49
"176","Analysis of biological materials","1985",26
"177","Audio-visual technology","1985",28
"178","Basic communication processes","1985",52
"179","Basic materials chemistry ","1985",55
"180","Biotechnology","1985",31
"181","Chemical engineering","1985",31
"182","Civil engineering","1985",10
"183","Computer technology","1985",21
"184","Control","1985",22
"185","Digital communication","1985",4
"186","Electrical machinery, apparatus, energy","1985",134
"187","Engines, pumps, turbines","1985",86
"188","Environmental technology","1985",19
"189","Food chemistry","1985",5
"190","Furniture, games","1985",1
"191","Handling","1985",15
